Optimize,GAP
No,0.15
No,0.11
No,0.05
No,0.11
No,0.11
No,0.12
No,0.1
No,0.09
No,0.23
No,0.06
No,0.09
No,0.1
No,0.03
No,0.07
No,0.06
No,0.08
No,0.06
No,0.04
No,0.06
No,0.04
No,0.04
No,0.13
No,0.03
No,0.07
No,0.15
No,0.1
No,0.15
No,0.08
No,0.11
No,0.15
No,0.1
No,0.09
No,0.13
No,0.15
No,0.15
No,0.13
No,0.07
No,0.07
No,0.08
No,0.09
No,0.11
No,0.16
No,0.07
No,0.07
No,0.1
No,0.06
No,0.09
No,0.07
No,0.05
No,0.1
No,0.06
No,0.03
No,0.01
No,0
No,0.01
No,0.07
No,0.08
No,0.03
No,0.01
No,0.04
No,0.01
No,0.01
No,0.04
No,0.03
No,0.12
No,0.08
No,0.08
No,0.13
No,0.08
No,0.08
No,0.13
No,0.06
No,0.07
No,0.1
No,0.08
No,0.08
No,0.04
No,0.04
No,0.08
No,0.1
No,0.04
No,0.08
No,0.08
No,0.07
No,0.08
No,0.04
No,0.06
No,0.06
No,0.07
No,0.04
No,0.05
No,0.1
No,0.08
No,0.06
No,0.1
No,0.06
No,0.07
No,0.06
No,0.03
No,0.1
No,0.08
No,0.11
No,0.07
No,0.08
No,0.11
No,0.1
No,0.06
No,0.08
No,0.08
No,0.07
No,0.08
Yes,0.07
Yes,0.07
Yes,0.07
Yes,0.03
Yes,0.06
Yes,0.03
Yes,0.07
Yes,0.01
Yes,0.08
Yes,0.07
Yes,0.04
Yes,0.07
Yes,0.06
Yes,0
Yes,0.02
Yes,0
Yes,0.04
Yes,0.06
Yes,0.05
Yes,0.02
Yes,0.03
Yes,0.05
Yes,0.07
Yes,0.01
Yes,0.07
Yes,0.04
Yes,0.05
Yes,0.06
Yes,0.04
Yes,0.08
Yes,0.01
Yes,0.02
Yes,0.02
Yes,0.02
Yes,0.07
Yes,0.1
Yes,0.08
Yes,0
Yes,0.04
Yes,0.04
Yes,0.09
Yes,0.06
Yes,0.02
Yes,0.05
Yes,0.04
Yes,0.07
Yes,0
Yes,0.02
Yes,0.09
Yes,0.09
Yes,0.04
Yes,0.1
Yes,0.1
Yes,0.09
Yes,0.09
Yes,0
Yes,0.09
Yes,0.06
Yes,0.07
Yes,0.06
Yes,0.03
Yes,0.1
Yes,0.05
Yes,0.1
Yes,0.09
Yes,0
Yes,0.08
Yes,0.07
Yes,0.02
Yes,0.01
Yes,0.04
Yes,0.05
Yes,0.1
Yes,0.05
Yes,0.01
Yes,0.07
Yes,0.05
Yes,0.09
Yes,0.09
Yes,0.05
Yes,0.03
Yes,0.05
Yes,0.03
Yes,0.09
Yes,0.1
Yes,0.01
Yes,0
Yes,0.08
Yes,0.01
Yes,0.04
Yes,0.09
Yes,0.05
Yes,0.02
Yes,0.03
Yes,0.07
Yes,0.05
Yes,0.1
Yes,0.09
Yes,0.09
Yes,0.07
Yes,0.03
Yes,0.06
Yes,0.02
Yes,0.03
Yes,0.1
Yes,0.02
Yes,0.01
Yes,0.06
Yes,0.09
Yes,0.03
Yes,0.09
